Fam1EN;CostTypeEN;BookingEN;ActivityKey;combined_text;Transaction_Index;Cat1_Match;Cat2_Match;DescriptionCat2_Match;Similarity_Score
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;28;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;29;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;30;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;31;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;32;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;33;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;34;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;35;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;36;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;37;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;38;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;39;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;40;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;41;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
it expenses;Maintenance subscriptions EDP;zoom;IT maintenance;Maintenance subscriptions EDP zoom;42;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.4770541787147522
external services;Food and Bons;zone wine delivery vip;Meals (B2B);Food and Bons zone wine delivery vip;43;purchases of services;catering services;catering services, caterers, canteens, restaurant meals, as well as the provision of meals at events or on company premises. these services meet the catering needs of individuals and organisations, for one-off or regular occasions.;0.5921080112457275
external services;Rental furniture;zone vip;Furniture rental;Rental furniture zone vip;44;purchases of services;furniture rental;furniture hire for temporary needs, such as fitting out residential, business or event spaces. this includes items such as sofas, tables, chairs, beds and wardrobes. this solution is ideal for companies or individuals who want to furnish a space in a flexible way, without having to purchase furniture on a permanent basis.;0.7592875361442566
external services;Interior decoration work;zone vip;Construction services;Interior decoration work zone vip;45;purchases of services;furniture rental;furniture hire for temporary needs, such as fitting out residential, business or event spaces. this includes items such as sofas, tables, chairs, beds and wardrobes. this solution is ideal for companies or individuals who want to furnish a space in a flexible way, without having to purchase furniture on a permanent basis.;0.44364291429519653
external services;Telephone, Radio, Sound/Lighting;zone school trip lighting;IT services;Telephone, Radio, Sound/Lighting zone school trip lighting;46;purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.;0.4559444189071655
external services;Interior decoration work;zone plant vip;Construction services;Interior decoration work zone plant vip;47;agri-food products;other plant products;plant-based products, including container shrubs and cut flowers such as above-ground roses. these products are intended for agriculture, horticulture or decoration, offering a variety of plants adapted to different uses.;0.5497422814369202
external services;Rental furniture;zone furniture vip;Furniture rental;Rental furniture zone furniture vip;48;purchases of services;furniture rental;furniture hire for temporary needs, such as fitting out residential, business or event spaces. this includes items such as sofas, tables, chairs, beds and wardrobes. this solution is ideal for companies or individuals who want to furnish a space in a flexible way, without having to purchase furniture on a permanent basis.;0.7784938812255859
external services;Design, Consulting, Event;zone conception;Marketing services;Design, Consulting, Event zone conception;49;passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. ;0.42751407623291016
it expenses;Maintenance of computer equipment;zoho support preliminary project;IT equipments maintenance;Maintenance of computer equipment zoho support preliminary project;50;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5570482611656189
it expenses;Maintenance of computer equipment;zoho support;IT equipments maintenance;Maintenance of computer equipment zoho support;51;purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.;0.5438292026519775
it expenses;Maintenance of computer equipment;zoho support;IT equipments maintenance;Maintenance of computer equipment zoho support;52;purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.;0.5438292026519775
it expenses;Maintenance of computer equipment;zoho support;IT equipments maintenance;Maintenance of computer equipment zoho support;53;purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.;0.5438292026519775
it expenses;Maintenance of computer equipment;zoho support;IT equipments maintenance;Maintenance of computer equipment zoho support;54;purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.;0.5438292026519775
it expenses;Maintenance computer (Software);zoho subscription;IT maintenance;Maintenance computer (Software) zoho subscription;55;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.6276342868804932
it expenses;Maintenance computer (Software);zoho one;IT maintenance;Maintenance computer (Software) zoho one;56;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.6247851848602295
it expenses;Maintenance subscriptions EDP;zoho one;IT maintenance;Maintenance subscriptions EDP zoho one;57;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5309514999389648
it expenses;Maintenance subscriptions EDP;zoho one;IT maintenance;Maintenance subscriptions EDP zoho one;58;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5309514999389648
it expenses;Maintenance subscriptions EDP;zoho licenses;IT maintenance;Maintenance subscriptions EDP zoho licenses;59;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5205422639846802
it expenses;Maintenance computer (Software);zoho licenses;IT maintenance;Maintenance computer (Software) zoho licenses;60;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5629518032073975
it expenses;Maintenance subscriptions EDP;zoho licenses;IT maintenance;Maintenance subscriptions EDP zoho licenses;61;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5205422639846802
it expenses;Maintenance subscriptions EDP;zoho license;IT maintenance;Maintenance subscriptions EDP zoho license;62;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5105507373809814
it expenses;Maintenance subscriptions EDP;zoho;IT maintenance;Maintenance subscriptions EDP zoho;63;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5568726658821106
it expenses;Maintenance subscriptions EDP;zoho;IT maintenance;Maintenance subscriptions EDP zoho;64;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5568726658821106
it expenses;Maintenance subscriptions EDP;zoho;IT maintenance;Maintenance subscriptions EDP zoho;65;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5568726658821106
other personnel expenses;Accommodation expenses;zimmer stable crew;Hotel/Meeting (B2B);Accommodation expenses zimmer stable crew;66;passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. ;0.48656976222991943
other personnel expenses;Accommodation expenses;zimmer stable crew;Hotel/Meeting (B2B);Accommodation expenses zimmer stable crew;67;passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. ;0.48656976222991943
other personnel expenses;Accommodation expenses;zimmer david blum;Hotel/Meeting (B2B);Accommodation expenses zimmer david blum;68;passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. ;0.42229413986206055
other personnel expenses;Accommodation expenses;zimmer booked;Hotel/Meeting (B2B);Accommodation expenses zimmer booked;69;passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. ;0.4394880533218384
other personnel expenses;Accommodation expenses;zimmer;Hotel/Meeting (B2B);Accommodation expenses zimmer;70;passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. ;0.41621753573417664
external services;Food and Bons;ziebelmäri;Meals (B2B);Food and Bons ziebelmäri;71;agri-food products;starches;foods rich in complex carbohydrates, often used as the basis of meals. these include products such as pasta, rice, potatoes, quinoa, lentils and chickpeas.;0.5371915102005005
other personnel expenses;Meal expenses;zibele lakes;Meals (Staff);Meal expenses zibele lakes;72;agri-food products;breakfast;foods and drinks commonly consumed at the start of the day. this includes products such as cereals, pastries, toast and fruit, as well as drinks such as coffee, tea and orange juice. ;0.45098617672920227
other personnel expenses;Miscellaneous Personal Expenses;zh withholding tax;Travel allowance (Staff);Miscellaneous Personal Expenses zh withholding tax;73;purchase of goods;office consumables;all items used on a daily basis in an office environment that need to be replaced regularly. it includes supplies such as printing paper, ink cartridges for printers, pens, markers and notepads, as well as items such as paper clips, envelopes and filing folders.;0.349592387676239
external services;to be allocated to third-party services (expense);zfv additional order mp;Admin services;to be allocated to third-party services (expense) zfv additional order mp;74;purchases of services;logistics services;services related to the management of the flow of goods, from their point of origin to their final destination. this includes activities such as transport, storage, warehouse management, distribution and coordination of deliveries. these services are essential for optimising the supply chain, ensuring product availability and guaranteeing efficient, on-time delivery.;0.5321464538574219
external services;to be allocated to third-party services (expense);zfv additional order mp;Admin services;to be allocated to third-party services (expense) zfv additional order mp;75;purchases of services;logistics services;services related to the management of the flow of goods, from their point of origin to their final destination. this includes activities such as transport, storage, warehouse management, distribution and coordination of deliveries. these services are essential for optimising the supply chain, ensuring product availability and guaranteeing efficient, on-time delivery.;0.5321464538574219
external services;to be allocated to third-party services (expense);zfv additional order mp;Admin services;to be allocated to third-party services (expense) zfv additional order mp;76;purchases of services;logistics services;services related to the management of the flow of goods, from their point of origin to their final destination. this includes activities such as transport, storage, warehouse management, distribution and coordination of deliveries. these services are essential for optimising the supply chain, ensuring product availability and guaranteeing efficient, on-time delivery.;0.5321464538574219
external services;to be allocated to third-party services (expense);zfv additional order;Admin services;to be allocated to third-party services (expense) zfv additional order;77;purchases of services;logistics services;services related to the management of the flow of goods, from their point of origin to their final destination. this includes activities such as transport, storage, warehouse management, distribution and coordination of deliveries. these services are essential for optimising the supply chain, ensuring product availability and guaranteeing efficient, on-time delivery.;0.5092787742614746
external services;to be allocated to third-party services (expense);zfv;Admin services;to be allocated to third-party services (expense) zfv;78;purchases of services;logistics services;services related to the management of the flow of goods, from their point of origin to their final destination. this includes activities such as transport, storage, warehouse management, distribution and coordination of deliveries. these services are essential for optimising the supply chain, ensuring product availability and guaranteeing efficient, on-time delivery.;0.5150613188743591
external services;Food and Bons;zfv;Meals (B2B);Food and Bons zfv;79;agri-food products;breakfast;foods and drinks commonly consumed at the start of the day. this includes products such as cereals, pastries, toast and fruit, as well as drinks such as coffee, tea and orange juice. ;0.521090030670166
marketing;Marketing Vs Business;zero;Marketing services;Marketing Vs Business zero;80;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.5470683574676514
it expenses;Maintenance subscriptions EDP;zenhub those;IT maintenance;Maintenance subscriptions EDP zenhub those;81;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5487762689590454
it expenses;Maintenance computer (Software);zenhub;IT maintenance;Maintenance computer (Software) zenhub;82;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5889226794242859
rent for movables;Rent Tents;zeltmite tents;Truck (Suppliers);Rent Tents zeltmite tents;83;purchases of services;building rental;rental of various types of buildings, such as offices, commercial spaces, housing, storage warehouses and outdoor spaces. these rentals are designed to meet different needs, whether professional, residential or logistical, and allow flexibility in the use of space.;0.3949551582336426
rent for movables;Rent Tents;zeltmite sr;Truck (Suppliers);Rent Tents zeltmite sr;84;purchases of services;building rental;rental of various types of buildings, such as offices, commercial spaces, housing, storage warehouses and outdoor spaces. these rentals are designed to meet different needs, whether professional, residential or logistical, and allow flexibility in the use of space.;0.3699749708175659
rent for movables;Rent Tents;zeltmite cancellation;Truck (Suppliers);Rent Tents zeltmite cancellation;85;purchases of services;building rental;rental of various types of buildings, such as offices, commercial spaces, housing, storage warehouses and outdoor spaces. these rentals are designed to meet different needs, whether professional, residential or logistical, and allow flexibility in the use of space.;0.38148730993270874
rent for movables;Rent Tents;zeltmite cancellation;Truck (Suppliers);Rent Tents zeltmite cancellation;86;purchases of services;building rental;rental of various types of buildings, such as offices, commercial spaces, housing, storage warehouses and outdoor spaces. these rentals are designed to meet different needs, whether professional, residential or logistical, and allow flexibility in the use of space.;0.38148730993270874
