Cat1EN;Cat2EN;DescriptionCat2EN
waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.
waste treatment;household waste;waste generated by households on a daily basis. this includes food scraps, packaging, plastic waste, paper and broken objects. this waste is collected regularly for treatment, recycling or disposal, depending on its nature, in order to reduce its environmental impact.
use of electricity;standard;consumption of electricity from a variety of sources, including fossil fuels (coal, gas, oil) as well as renewable energies, without specific distinction.
purchases of services;building rental;rental of various types of buildings, such as offices, commercial spaces, housing, storage warehouses and outdoor spaces. these rentals are designed to meet different needs, whether professional, residential or logistical, and allow flexibility in the use of space.
purchases of services;building rental;rental of various types of buildings, such as offices, commercial spaces, housing, storage warehouses and outdoor spaces. these rentals are designed to meet different needs, whether professional, residential or logistical, and allow flexibility in the use of space.
purchases of services;building rental;rental of various types of buildings, such as offices, commercial spaces, housing, storage warehouses and outdoor spaces. these rentals are designed to meet different needs, whether professional, residential or logistical, and allow flexibility in the use of space.
purchases of services;building rental;rental of various types of buildings, such as offices, commercial spaces, housing, storage warehouses and outdoor spaces. these rentals are designed to meet different needs, whether professional, residential or logistical, and allow flexibility in the use of space.
purchases of services;building rental;rental of various types of buildings, such as offices, commercial spaces, housing, storage warehouses and outdoor spaces. these rentals are designed to meet different needs, whether professional, residential or logistical, and allow flexibility in the use of space.
purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.
purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.
purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.
purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.
purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.
purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.
purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.
purchases of services;logistics services;services related to the management of the flow of goods, from their point of origin to their final destination. this includes activities such as transport, storage, warehouse management, distribution and coordination of deliveries. these services are essential for optimising the supply chain, ensuring product availability and guaranteeing efficient, on-time delivery.
purchases of services;logistics services;services related to the management of the flow of goods, from their point of origin to their final destination. this includes activities such as transport, storage, warehouse management, distribution and coordination of deliveries. these services are essential for optimising the supply chain, ensuring product availability and guaranteeing efficient, on-time delivery.
purchases of services;logistics services;services related to the management of the flow of goods, from their point of origin to their final destination. this includes activities such as transport, storage, warehouse management, distribution and coordination of deliveries. these services are essential for optimising the supply chain, ensuring product availability and guaranteeing efficient, on-time delivery.
refrigeration and air conditioning;air conditioning;amount of energy used by various air-conditioning systems, such as air-conditioners, chillers and mobile units. this also includes the consumption of automotive air conditioning systems, multisplit models, drv systems, cabinet-type units, window air conditioners and rooftops.
refrigeration and air conditioning;air conditioning;amount of energy used by various air-conditioning systems, such as air-conditioners, chillers and mobile units. this also includes the consumption of automotive air conditioning systems, multisplit models, drv systems, cabinet-type units, window air conditioners and rooftops.
refrigeration and air conditioning;air conditioning;amount of energy used by various air-conditioning systems, such as air-conditioners, chillers and mobile units. this also includes the consumption of automotive air conditioning systems, multisplit models, drv systems, cabinet-type units, window air conditioners and rooftops.
refrigeration and air conditioning;air conditioning;amount of energy used by various air-conditioning systems, such as air-conditioners, chillers and mobile units. this also includes the consumption of automotive air conditioning systems, multisplit models, drv systems, cabinet-type units, window air conditioners and rooftops.
refrigeration and air conditioning;air conditioning;amount of energy used by various air-conditioning systems, such as air-conditioners, chillers and mobile units. this also includes the consumption of automotive air conditioning systems, multisplit models, drv systems, cabinet-type units, window air conditioners and rooftops.
refrigeration and air conditioning;air conditioning;amount of energy used by various air-conditioning systems, such as air-conditioners, chillers and mobile units. this also includes the consumption of automotive air conditioning systems, multisplit models, drv systems, cabinet-type units, window air conditioners and rooftops.
refrigeration and air conditioning;air conditioning;amount of energy used by various air-conditioning systems, such as air-conditioners, chillers and mobile units. this also includes the consumption of automotive air conditioning systems, multisplit models, drv systems, cabinet-type units, window air conditioners and rooftops.
refrigeration and air conditioning;air conditioning;amount of energy used by various air-conditioning systems, such as air-conditioners, chillers and mobile units. this also includes the consumption of automotive air conditioning systems, multisplit models, drv systems, cabinet-type units, window air conditioners and rooftops.
refrigeration and air conditioning;air conditioning;amount of energy used by various air-conditioning systems, such as air-conditioners, chillers and mobile units. this also includes the consumption of automotive air conditioning systems, multisplit models, drv systems, cabinet-type units, window air conditioners and rooftops.
refrigeration and air conditioning;air conditioning;amount of energy used by various air-conditioning systems, such as air-conditioners, chillers and mobile units. this also includes the consumption of automotive air conditioning systems, multisplit models, drv systems, cabinet-type units, window air conditioners and rooftops.
refrigeration and air conditioning;refrigeration;amount of energy used to operate refrigeration equipment. this includes the electrical consumption of refrigerators, freezers, cold rooms, as well as commercial and industrial refrigeration, and that used for sea and road freight.
refrigeration and air conditioning;refrigeration;amount of energy used to operate refrigeration equipment. this includes the electrical consumption of refrigerators, freezers, cold rooms, as well as commercial and industrial refrigeration, and that used for sea and road freight.
refrigeration and air conditioning;refrigeration;amount of energy used to operate refrigeration equipment. this includes the electrical consumption of refrigerators, freezers, cold rooms, as well as commercial and industrial refrigeration, and that used for sea and road freight.
refrigeration and air conditioning;refrigeration;amount of energy used to operate refrigeration equipment. this includes the electrical consumption of refrigerators, freezers, cold rooms, as well as commercial and industrial refrigeration, and that used for sea and road freight.
waste treatment;other waste;a wide range of waste, including non-recyclable mineral waste, hazardous waste (such as chemicals and solvents), and construction waste (such as rubble and demolition materials). these types of waste require appropriate and often complex treatment to minimise their environmental impact.
waste treatment;other waste;a wide range of waste, including non-recyclable mineral waste, hazardous waste (such as chemicals and solvents), and construction waste (such as rubble and demolition materials). these types of waste require appropriate and often complex treatment to minimise their environmental impact.
waste treatment;other waste;a wide range of waste, including non-recyclable mineral waste, hazardous waste (such as chemicals and solvents), and construction waste (such as rubble and demolition materials). these types of waste require appropriate and often complex treatment to minimise their environmental impact.
waste treatment;organic waste;biodegradable materials from various activities. this includes food waste, green waste (such as garden waste), as well as cardboard and paper. this waste is generally compostable and can be recycled to produce compost or energy through methanisation.
waste treatment;organic waste;biodegradable materials from various activities. this includes food waste, green waste (such as garden waste), as well as cardboard and paper. this waste is generally compostable and can be recycled to produce compost or energy through methanisation.
waste treatment;organic waste;biodegradable materials from various activities. this includes food waste, green waste (such as garden waste), as well as cardboard and paper. this waste is generally compostable and can be recycled to produce compost or energy through methanisation.
waste treatment;plastic waste;waste from different types of plastic. this includes pp (polypropylene), pe (polyethylene), pet (polyethylene terephthalate), ps (polystyrene), pvc (polyvinyl chloride) and medium-quality plastics. this waste requires specific treatment to be recycled or recovered, due to the variety of materials and their characteristics.
waste treatment;plastic waste;waste from different types of plastic. this includes pp (polypropylene), pe (polyethylene), pet (polyethylene terephthalate), ps (polystyrene), pvc (polyvinyl chloride) and medium-quality plastics. this waste requires specific treatment to be recycled or recovered, due to the variety of materials and their characteristics.
waste treatment;plastic waste;waste from different types of plastic. this includes pp (polypropylene), pe (polyethylene), pet (polyethylene terephthalate), ps (polystyrene), pvc (polyvinyl chloride) and medium-quality plastics. this waste requires specific treatment to be recycled or recovered, due to the variety of materials and their characteristics.
waste treatment;plastic waste;waste from different types of plastic. this includes pp (polypropylene), pe (polyethylene), pet (polyethylene terephthalate), ps (polystyrene), pvc (polyvinyl chloride) and medium-quality plastics. this waste requires specific treatment to be recycled or recovered, due to the variety of materials and their characteristics.
waste treatment;plastic waste;waste from different types of plastic. this includes pp (polypropylene), pe (polyethylene), pet (polyethylene terephthalate), ps (polystyrene), pvc (polyvinyl chloride) and medium-quality plastics. this waste requires specific treatment to be recycled or recovered, due to the variety of materials and their characteristics.
waste treatment;plastic waste;waste from different types of plastic. this includes pp (polypropylene), pe (polyethylene), pet (polyethylene terephthalate), ps (polystyrene), pvc (polyvinyl chloride) and medium-quality plastics. this waste requires specific treatment to be recycled or recovered, due to the variety of materials and their characteristics.
freight transport;air;moving goods by air, using cargo planes or the hold of commercial aircraft. this mode of transport is generally used for goods with high added value or requiring rapid delivery, such as fresh produce, electronic equipment or urgent parcels.
freight transport;air;moving goods by air, using cargo planes or the hold of commercial aircraft. this mode of transport is generally used for goods with high added value or requiring rapid delivery, such as fresh produce, electronic equipment or urgent parcels.
freight transport;air;moving goods by air, using cargo planes or the hold of commercial aircraft. this mode of transport is generally used for goods with high added value or requiring rapid delivery, such as fresh produce, electronic equipment or urgent parcels.
freight transport;air;moving goods by air, using cargo planes or the hold of commercial aircraft. this mode of transport is generally used for goods with high added value or requiring rapid delivery, such as fresh produce, electronic equipment or urgent parcels.
freight transport;combined (freight);using several modes of transport to move goods, such as a combination of road, rail and sea. this type of transport optimises logistical efficiency by taking advantage of the benefits of each mode, reducing costs and environmental impact. 
freight transport;combined (freight);using several modes of transport to move goods, such as a combination of road, rail and sea. this type of transport optimises logistical efficiency by taking advantage of the benefits of each mode, reducing costs and environmental impact. 
freight transport;rail;moving goods by rail, using freight trains. this mode of transport is preferred for heavy or bulky goods, such as raw materials, industrial products or agricultural produce, offering an efficient and environmentally-friendly solution over long distances.
freight transport;rail;moving goods by rail, using freight trains. this mode of transport is preferred for heavy or bulky goods, such as raw materials, industrial products or agricultural produce, offering an efficient and environmentally-friendly solution over long distances.
freight transport;rail;moving goods by rail, using freight trains. this mode of transport is preferred for heavy or bulky goods, such as raw materials, industrial products or agricultural produce, offering an efficient and environmentally-friendly solution over long distances.
freight transport;rail;moving goods by rail, using freight trains. this mode of transport is preferred for heavy or bulky goods, such as raw materials, industrial products or agricultural produce, offering an efficient and environmentally-friendly solution over long distances.
freight transport;rail;moving goods by rail, using freight trains. this mode of transport is preferred for heavy or bulky goods, such as raw materials, industrial products or agricultural produce, offering an efficient and environmentally-friendly solution over long distances.
freight transport;rail;moving goods by rail, using freight trains. this mode of transport is preferred for heavy or bulky goods, such as raw materials, industrial products or agricultural produce, offering an efficient and environmentally-friendly solution over long distances.
freight transport;rail;moving goods by rail, using freight trains. this mode of transport is preferred for heavy or bulky goods, such as raw materials, industrial products or agricultural produce, offering an efficient and environmentally-friendly solution over long distances.
freight transport;rail;moving goods by rail, using freight trains. this mode of transport is preferred for heavy or bulky goods, such as raw materials, industrial products or agricultural produce, offering an efficient and environmentally-friendly solution over long distances.
freight transport;rail;moving goods by rail, using freight trains. this mode of transport is preferred for heavy or bulky goods, such as raw materials, industrial products or agricultural produce, offering an efficient and environmentally-friendly solution over long distances.
freight transport;rail;moving goods by rail, using freight trains. this mode of transport is preferred for heavy or bulky goods, such as raw materials, industrial products or agricultural produce, offering an efficient and environmentally-friendly solution over long distances.
freight transport;rail;moving goods by rail, using freight trains. this mode of transport is preferred for heavy or bulky goods, such as raw materials, industrial products or agricultural produce, offering an efficient and environmentally-friendly solution over long distances.
freight transport;rail;moving goods by rail, using freight trains. this mode of transport is preferred for heavy or bulky goods, such as raw materials, industrial products or agricultural produce, offering an efficient and environmentally-friendly solution over long distances.
freight transport;river / sea transport;moving goods by inland waterway, using barges (river) or ships (sea). river transport is mainly used for bulky goods on rivers or canals, while maritime transport enables large quantities of goods, such as containers, oil or bulk solids, to be transported over long distances across oceans.
freight transport;river / sea transport;moving goods by inland waterway, using barges (river) or ships (sea). river transport is mainly used for bulky goods on rivers or canals, while maritime transport enables large quantities of goods, such as containers, oil or bulk solids, to be transported over long distances across oceans.
freight transport;river / sea transport;moving goods by inland waterway, using barges (river) or ships (sea). river transport is mainly used for bulky goods on rivers or canals, while maritime transport enables large quantities of goods, such as containers, oil or bulk solids, to be transported over long distances across oceans.
freight transport;river / sea transport;moving goods by inland waterway, using barges (river) or ships (sea). river transport is mainly used for bulky goods on rivers or canals, while maritime transport enables large quantities of goods, such as containers, oil or bulk solids, to be transported over long distances across oceans.
passenger transport;air;moving people by air, including commercial flights in economy, business and first class, as well as helicopter flights. 
passenger transport;air;moving people by air, including commercial flights in economy, business and first class, as well as helicopter flights. 
passenger transport;air;moving people by air, including commercial flights in economy, business and first class, as well as helicopter flights. 
passenger transport;air;moving people by air, including commercial flights in economy, business and first class, as well as helicopter flights. 
passenger transport;air;moving people by air, including commercial flights in economy, business and first class, as well as helicopter flights. 
passenger transport;air;moving people by air, including commercial flights in economy, business and first class, as well as helicopter flights. 
passenger transport;air;moving people by air, including commercial flights in economy, business and first class, as well as helicopter flights. 
passenger transport;air;moving people by air, including commercial flights in economy, business and first class, as well as helicopter flights. 
passenger transport;air;moving people by air, including commercial flights in economy, business and first class, as well as helicopter flights. 
passenger transport;air;moving people by air, including commercial flights in economy, business and first class, as well as helicopter flights. 
passenger transport;air;moving people by air, including commercial flights in economy, business and first class, as well as helicopter flights. 
passenger transport;combined (passengers);using several modes of transport to move passengers. this includes combinations of road, rail, inland waterway or air transport, offering a flexible and efficient solution for journeys requiring different travel options, optimising journey times and costs.
passenger transport;rail;moving people by train, including regional, intercity, high-speed and commuter trains. this mode of transport is used for daily journeys, long-distance travel and links between major cities.
passenger transport;rail;moving people by train, including regional, intercity, high-speed and commuter trains. this mode of transport is used for daily journeys, long-distance travel and links between major cities.
passenger transport;rail;moving people by train, including regional, intercity, high-speed and commuter trains. this mode of transport is used for daily journeys, long-distance travel and links between major cities.
passenger transport;rail;moving people by train, including regional, intercity, high-speed and commuter trains. this mode of transport is used for daily journeys, long-distance travel and links between major cities.
passenger transport;rail;moving people by train, including regional, intercity, high-speed and commuter trains. this mode of transport is used for daily journeys, long-distance travel and links between major cities.
passenger transport;rail;moving people by train, including regional, intercity, high-speed and commuter trains. this mode of transport is used for daily journeys, long-distance travel and links between major cities.
passenger transport;rail;moving people by train, including regional, intercity, high-speed and commuter trains. this mode of transport is used for daily journeys, long-distance travel and links between major cities.
passenger transport;rail;moving people by train, including regional, intercity, high-speed and commuter trains. this mode of transport is used for daily journeys, long-distance travel and links between major cities.
passenger transport;rail;moving people by train, including regional, intercity, high-speed and commuter trains. this mode of transport is used for daily journeys, long-distance travel and links between major cities.
passenger transport;rail;moving people by train, including regional, intercity, high-speed and commuter trains. this mode of transport is used for daily journeys, long-distance travel and links between major cities.
passenger transport;rail;moving people by train, including regional, intercity, high-speed and commuter trains. this mode of transport is used for daily journeys, long-distance travel and links between major cities.
passenger transport;river / sea transport;passenger transport by inland waterway, including cruise ships, ferries, river shuttles and tourist boats.
passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. 
passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. 
passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. 
passenger transport;soft mobility;environmentally-friendly modes of transport, including walking, scooters, electric bikes and other non-motorised vehicles.
passenger transport;soft mobility;environmentally-friendly modes of transport, including walking, scooters, electric bikes and other non-motorised vehicles.
passenger transport;soft mobility;environmentally-friendly modes of transport, including walking, scooters, electric bikes and other non-motorised vehicles.
passenger transport;soft mobility;environmentally-friendly modes of transport, including walking, scooters, electric bikes and other non-motorised vehicles.
passenger transport;soft mobility;environmentally-friendly modes of transport, including walking, scooters, electric bikes and other non-motorised vehicles.
passenger transport;soft mobility;environmentally-friendly modes of transport, including walking, scooters, electric bikes and other non-motorised vehicles.
passenger transport;public transport;passenger journeys using collective means of transport, such as buses, metros, trams and trains. this transport is organised to serve urban and interurban areas, offering a practical and ecological solution for daily journeys.
passenger transport;remote work;activities carried out without the need for physical travel, such as teleworking and videoconferencing. these practices enable people to work remotely, collaborate and communicate without having to travel, helping to reduce the carbon footprint associated with commuting.
passenger transport;remote work;activities carried out without the need for physical travel, such as teleworking and videoconferencing. these practices enable people to work remotely, collaborate and communicate without having to travel, helping to reduce the carbon footprint associated with commuting.
use of electricity;renewables;consumption of electricity generated from renewable sources, such as solar, wind, hydro or geothermal power. this electricity is generated in a sustainable manner, minimising environmental impact.
use of electricity;renewables;consumption of electricity generated from renewable sources, such as solar, wind, hydro or geothermal power. this electricity is generated in a sustainable manner, minimising environmental impact.
use of fuels;bioéthanol / biodiesel;consumption of bioethanol and biodiesel as renewable fuels. bioethanol is produced from fermented plant matter, such as cereals or sugar cane, while biodiesel is made from vegetable oils or animal fats. these fuels are used mainly for vehicles and offer a more sustainable alternative to fossil fuels.
use of fuels;bioéthanol / biodiesel;consumption of bioethanol and biodiesel as renewable fuels. bioethanol is produced from fermented plant matter, such as cereals or sugar cane, while biodiesel is made from vegetable oils or animal fats. these fuels are used mainly for vehicles and offer a more sustainable alternative to fossil fuels.
use of fuels;wood and solid organics;solid fuels of plant origin, used to produce heat or energy. this includes wood in various forms, such as logs, pellets and wood chips, as well as biomasses such as miscanthus, straw and forestry chips. these biomass fuels are used for residential and industrial heating, offering a renewable alternative to fossil fuels.
use of fuels;wood and solid organics;solid fuels of plant origin, used to produce heat or energy. this includes wood in various forms, such as logs, pellets and wood chips, as well as biomasses such as miscanthus, straw and forestry chips. these biomass fuels are used for residential and industrial heating, offering a renewable alternative to fossil fuels.
use of fuels;wood and solid organics;solid fuels of plant origin, used to produce heat or energy. this includes wood in various forms, such as logs, pellets and wood chips, as well as biomasses such as miscanthus, straw and forestry chips. these biomass fuels are used for residential and industrial heating, offering a renewable alternative to fossil fuels.
use of fuels;wood and solid organics;solid fuels of plant origin, used to produce heat or energy. this includes wood in various forms, such as logs, pellets and wood chips, as well as biomasses such as miscanthus, straw and forestry chips. these biomass fuels are used for residential and industrial heating, offering a renewable alternative to fossil fuels.
use of fuels;wood and solid organics;solid fuels of plant origin, used to produce heat or energy. this includes wood in various forms, such as logs, pellets and wood chips, as well as biomasses such as miscanthus, straw and forestry chips. these biomass fuels are used for residential and industrial heating, offering a renewable alternative to fossil fuels.
use of fuels;wood and solid organics;solid fuels of plant origin, used to produce heat or energy. this includes wood in various forms, such as logs, pellets and wood chips, as well as biomasses such as miscanthus, straw and forestry chips. these biomass fuels are used for residential and industrial heating, offering a renewable alternative to fossil fuels.
use of fuels;wood and solid organics;solid fuels of plant origin, used to produce heat or energy. this includes wood in various forms, such as logs, pellets and wood chips, as well as biomasses such as miscanthus, straw and forestry chips. these biomass fuels are used for residential and industrial heating, offering a renewable alternative to fossil fuels.
use of fuels;coal;consumption of coal and coke as an energy source, generally used to produce heat and electricity. coal is a solid fossil fuel, while coke is a coal derivative, often used in the steel industry.
use of fuels;coal;consumption of coal and coke as an energy source, generally used to produce heat and electricity. coal is a solid fossil fuel, while coke is a coal derivative, often used in the steel industry.
use of fuels;diesel;consumption of diesel as a fuel for various purposes. road diesel is used to power vehicles on the road, such as trucks, buses and cars. non-road diesel is used for agricultural machinery, construction equipment and industrial vehicles. 
use of fuels;diesel;consumption of diesel as a fuel for various purposes. road diesel is used to power vehicles on the road, such as trucks, buses and cars. non-road diesel is used for agricultural machinery, construction equipment and industrial vehicles. 
use of fuels;diesel;consumption of diesel as a fuel for various purposes. road diesel is used to power vehicles on the road, such as trucks, buses and cars. non-road diesel is used for agricultural machinery, construction equipment and industrial vehicles. 
use of fuels;waste;consumption of waste as an energy source, by incinerating it to produce heat or electricity. this includes municipal solid waste, industrial residues or agricultural by-products.
use of fuels;petrol;consumption of different types of petrol as fuel, mainly for light vehicles but also paraffin for aviation. this includes sp95, sp98 (premium unleaded petrol) and e10, which contain varying proportions of additives and sometimes bioethanol. 
use of fuels;petrol;consumption of different types of petrol as fuel, mainly for light vehicles but also paraffin for aviation. this includes sp95, sp98 (premium unleaded petrol) and e10, which contain varying proportions of additives and sometimes bioethanol. 
use of fuels;fuel;consumption of fuel oil as an energy source, including domestic fuel oil, heavy fuel oil, hfo (heavy fuel oil) and lfo (light fuel oil). domestic fuel oil is used for residential heating, while heavy fuel oil and hfo are mainly used in industry and for ships. lfo is often used for generators and certain industrial applications. these petroleum-derived fuels have a significant environmental impact.
use of fuels;fuel;consumption of fuel oil as an energy source, including domestic fuel oil, heavy fuel oil, hfo (heavy fuel oil) and lfo (light fuel oil). domestic fuel oil is used for residential heating, while heavy fuel oil and hfo are mainly used in industry and for ships. lfo is often used for generators and certain industrial applications. these petroleum-derived fuels have a significant environmental impact.
use of fuels;fuel;consumption of fuel oil as an energy source, including domestic fuel oil, heavy fuel oil, hfo (heavy fuel oil) and lfo (light fuel oil). domestic fuel oil is used for residential heating, while heavy fuel oil and hfo are mainly used in industry and for ships. lfo is often used for generators and certain industrial applications. these petroleum-derived fuels have a significant environmental impact.
use of fuels;fuel;consumption of fuel oil as an energy source, including domestic fuel oil, heavy fuel oil, hfo (heavy fuel oil) and lfo (light fuel oil). domestic fuel oil is used for residential heating, while heavy fuel oil and hfo are mainly used in industry and for ships. lfo is often used for generators and certain industrial applications. these petroleum-derived fuels have a significant environmental impact.
use of fuels;liquid fossils;consumption of liquid fossil fuels for various purposes. this includes products such as bitumen, used in construction, jet fuel, high viscosity fuel (hvf), shale oil, marine diesel oil (mdo) for shipping, naphtha for petrochemicals, and crude oil. liquid fossil fuels are used in industrial, transport and special applications.
use of fuels;liquid fossils;consumption of liquid fossil fuels for various purposes. this includes products such as bitumen, used in construction, jet fuel, high viscosity fuel (hvf), shale oil, marine diesel oil (mdo) for shipping, naphtha for petrochemicals, and crude oil. liquid fossil fuels are used in industrial, transport and special applications.
use of fuels;liquid fossils;consumption of liquid fossil fuels for various purposes. this includes products such as bitumen, used in construction, jet fuel, high viscosity fuel (hvf), shale oil, marine diesel oil (mdo) for shipping, naphtha for petrochemicals, and crude oil. liquid fossil fuels are used in industrial, transport and special applications.
use of fuels;liquid fossils;consumption of liquid fossil fuels for various purposes. this includes products such as bitumen, used in construction, jet fuel, high viscosity fuel (hvf), shale oil, marine diesel oil (mdo) for shipping, naphtha for petrochemicals, and crude oil. liquid fossil fuels are used in industrial, transport and special applications.
use of fuels;liquid fossils;consumption of liquid fossil fuels for various purposes. this includes products such as bitumen, used in construction, jet fuel, high viscosity fuel (hvf), shale oil, marine diesel oil (mdo) for shipping, naphtha for petrochemicals, and crude oil. liquid fossil fuels are used in industrial, transport and special applications.
use of fuels;liquid fossils;consumption of liquid fossil fuels for various purposes. this includes products such as bitumen, used in construction, jet fuel, high viscosity fuel (hvf), shale oil, marine diesel oil (mdo) for shipping, naphtha for petrochemicals, and crude oil. liquid fossil fuels are used in industrial, transport and special applications.
use of fuels;liquid fossils;consumption of liquid fossil fuels for various purposes. this includes products such as bitumen, used in construction, jet fuel, high viscosity fuel (hvf), shale oil, marine diesel oil (mdo) for shipping, naphtha for petrochemicals, and crude oil. liquid fossil fuels are used in industrial, transport and special applications.
use of fuels;liquid fossils;consumption of liquid fossil fuels for various purposes. this includes products such as bitumen, used in construction, jet fuel, high viscosity fuel (hvf), shale oil, marine diesel oil (mdo) for shipping, naphtha for petrochemicals, and crude oil. liquid fossil fuels are used in industrial, transport and special applications.
use of fuels;gas;the main category when talking about gases in general. this includes different types of gas for various uses: biogases such as biognl (renewable liquefied natural gas), biomethane and biopropane, as well as industrial gases and natural gas. cng (compressed natural gas) is used for road vehicles, while lng (liquefied natural gas) is mainly used for transport and industry. lpg (liquefied petroleum gas) as well as propane and butane are commonly used as fuel for vehicles or for domestic and industrial applications.
use of fuels;gas;the main category when talking about gases in general. this includes different types of gas for various uses: biogases such as biognl (renewable liquefied natural gas), biomethane and biopropane, as well as industrial gases and natural gas. cng (compressed natural gas) is used for road vehicles, while lng (liquefied natural gas) is mainly used for transport and industry. lpg (liquefied petroleum gas) as well as propane and butane are commonly used as fuel for vehicles or for domestic and industrial applications.
use of fuels;gas;the main category when talking about gases in general. this includes different types of gas for various uses: biogases such as biognl (renewable liquefied natural gas), biomethane and biopropane, as well as industrial gases and natural gas. cng (compressed natural gas) is used for road vehicles, while lng (liquefied natural gas) is mainly used for transport and industry. lpg (liquefied petroleum gas) as well as propane and butane are commonly used as fuel for vehicles or for domestic and industrial applications.
use of fuels;gas;the main category when talking about gases in general. this includes different types of gas for various uses: biogases such as biognl (renewable liquefied natural gas), biomethane and biopropane, as well as industrial gases and natural gas. cng (compressed natural gas) is used for road vehicles, while lng (liquefied natural gas) is mainly used for transport and industry. lpg (liquefied petroleum gas) as well as propane and butane are commonly used as fuel for vehicles or for domestic and industrial applications.
use of fuels;gas;the main category when talking about gases in general. this includes different types of gas for various uses: biogases such as biognl (renewable liquefied natural gas), biomethane and biopropane, as well as industrial gases and natural gas. cng (compressed natural gas) is used for road vehicles, while lng (liquefied natural gas) is mainly used for transport and industry. lpg (liquefied petroleum gas) as well as propane and butane are commonly used as fuel for vehicles or for domestic and industrial applications.
use of fuels;gas;the main category when talking about gases in general. this includes different types of gas for various uses: biogases such as biognl (renewable liquefied natural gas), biomethane and biopropane, as well as industrial gases and natural gas. cng (compressed natural gas) is used for road vehicles, while lng (liquefied natural gas) is mainly used for transport and industry. lpg (liquefied petroleum gas) as well as propane and butane are commonly used as fuel for vehicles or for domestic and industrial applications.
use of fuels;gas;the main category when talking about gases in general. this includes different types of gas for various uses: biogases such as biognl (renewable liquefied natural gas), biomethane and biopropane, as well as industrial gases and natural gas. cng (compressed natural gas) is used for road vehicles, while lng (liquefied natural gas) is mainly used for transport and industry. lpg (liquefied petroleum gas) as well as propane and butane are commonly used as fuel for vehicles or for domestic and industrial applications.
